date,bench,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num,unit,frame,B1_Liv1,B2_Liv2,B1_Bry,B2_Syn,B1,B2,L2,L1,GA,Nostoc,DC,LC,Moss_unk,Mold,Peltula,Funaria,Moss,Volvox,Liv_unk
2016_12_16,1,1,O,0,0,0,0,O,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,0,O,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,0,O,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,0,0,0,0,O,0,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,0,BB,2,1,29,1,0,0,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,0,BB,2,1,29,2,0,0,2,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,0,BB,2,1,29,3,0,0,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,0,BB,2,1,29,4,0,0,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,B1,B2,0,0,BB,2,1,29,5,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,L2,LL,2,1,30,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,L2,LL,2,1,30,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,L2,LL,2,1,30,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,L2,LL,2,1,30,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,C,0,0,L1,L2,LL,2,1,30,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,L2,BL,2,2,31,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,L2,BL,2,2,31,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,L2,BL,2,2,31,3,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,L2,BL,2,2,31,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,1,O,B1,0,0,L2,BL,2,2,31,5,3,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,32,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,32,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,32,3,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,32,4,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016_12_16,1,3,O,B1,B2,L1,L2,BBLL,4,2,32,5,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
