bench,unit,water,origin,sp1,sp2,sp3,sp4,fxn,spp_num,fnc_num_initial,1,2,3,4,5,6,7,8,9,10,11,12,13,hydrop,abs,veg,slakevalue,torvane,ugPO4,TotN,TotC,C_N,ugNH4,ugNO3
2,135,3,C,0,0,L1,0,L,1,1,51,49,48,46,44,42,40,39,38,36,35,34,33,1,6,DC,6,1,0.595985882,0.0664,1.8677,28.1378,1.939141242,0.29924446
2,136,3,C,B1,0,0,L2,BL,2,2,68,67,67,67,66,66,66,65,65,65,65,65,64,0,1,M,6,1.1,NA,NA,NA,NA,NA,NA
2,137,1,O,B1,0,L1,L2,BLL,3,2,83,82,81,80,79,78,77,76,76,75,74,73,72,0,3,0,4,0.7,NA,NA,NA,NA,NA,NA
2,138,3,C,B1,B2,0,L2,BBL,3,2,34,34,33,32,32,32,30,30,29,29,28,27,27,1,9,M,6,1.1,2.200166273,0.0643,1.8131,28.2051,1.971954,0.470111331
2,139,3,C,0,B2,L1,0,BL,2,2,58,57,57,57,57,56,56,56,55,55,55,54,54,0,3,DC,6,1.6,NA,NA,NA,NA,NA,NA
2,140,1,C,0,0,0,L2,L,1,1,80,78,75,72,69,67,65,63,62,60,59,58,56,0,1,DC,6,2.2,NA,NA,NA,NA,NA,NA
2,141,1,C,B1,0,L1,L2,BLL,3,2,64,61,58,56,54,52,50,49,47,45,44,43,42,0,1,DC,6,2.5,1.422386036,0.0533,1.619,30.3866,1.135524121,0.416131928
2,142,3,O,0,0,L1,0,L,1,1,60,59,59,59,59,59,58,58,58,58,57,57,57,1,9,DC,6,0.3,2.81561512,0.0582,0.5602,9.6226,2.009036197,0.133507588
2,143,1,O,B1,0,L1,0,BL,2,2,87,84,84,82,81,80,79,78,77,77,76,75,75,0,3,DC,6,0.6,NA,NA,NA,NA,NA,NA
2,144,1,C,0,0,L1,L2,LL,2,1,49,49,49,48,48,47,47,47,47,46,46,46,45,0,2,DC,6,1.4,0.978850231,0.0564,1.615,28.635,1.156503176,0.485571013
2,145,3,C,0,B2,0,0,B,1,1,81,81,80,80,79,78,77,77,76,75,74,74,73,0,3,DC,5,1.8,1.790725291,0.0535,1.6612,31.0304,1.507979276,0.583482615
2,146,1,C,B1,0,0,0,B,1,1,83,82,80,79,77,76,75,73,72,71,70,69,68,0,2,DC,6,1.6,3.072511352,0.0533,1.622,30.412,0.99955229,0.297381884
2,147,1,O,B1,0,0,L2,BL,2,2,55,55,55,54,54,54,53,53,53,53,52,52,52,0,0,0,6,0.5,2.494905797,0.0188,0.1901,10.0989,1.033845007,0.431836738
2,148,1,O,0,B2,L1,0,BL,2,2,44,41,39,38,37,35,34,33,32,30,29,28,27,0,1,LC,6,0.6,NA,NA,NA,NA,NA,NA
2,149,3,C,B1,0,L1,L2,BLL,3,2,54,53,52,52,51,51,50,49,48,47,47,46,46,0,1,DC,6,1.4,NA,NA,NA,NA,NA,NA
2,150,1,O,B1,B2,L1,0,BBL,3,2,65,64,63,62,61,60,59,58,57,55,54,52,51,0,0,0,0,0.6,3.501511705,0.0136,0.1455,10.7275,0.979260186,0.287752507
2,151,1,C,0,0,0,L2,L,1,1,66,64,61,58,56,54,52,51,49,47,46,44,43,1,20,DC,6,1.2,2.124942031,0.0515,1.6052,31.1908,1.314863341,0.552824191
